UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name
HC_00_A_20231025,0.031389624,0.037293175,0.02896703,0.037738148,0.190060419,0.032458312,0.014662632,0.023257002,0.011012432,0.040166531,0.175450416,1.06021531,0.647993585,1.538117357,0.767579534,6.969723035,0.128648295,22.96323227,Group004Sample0004,nyssa_run3
HC_00_A_20231026,0.040416082,0.06091173,0.038229158,0.048784335,0.255648653,0.036386676,0.01943977,0.031906066,0.014575601,0.050642762,0.232327031,1.128181065,0.623135767,1.58242439,0.783635927,9.765148217,0.138054892,30.39790196,Group007Sample0002,nyssa_run3
HC_00_A_20231027,0.05643258,0.088401234,0.05131491,0.078110411,0.564297662,0.094846003,0.025183394,0.042902941,0.018531572,0.072036577,0.760392971,1.532734011,0.507318052,1.658220539,0.656953523,19.20708011,0.153971224,61.93345822,Group004Sample0007,nyssa_run3
HC_00_A_20231101,0.028997019,0.032329084,0.026919796,0.033936846,0.077880458,0.011904574,0.012633425,0.022657757,0.009608054,0.033132904,0.093530614,0.935938693,1.449230661,1.655845132,0.793232114,3.199904995,0.078207361,13.59231914,Group003Sample0003,nyssa_run3
HC_00_A_dawn_20231029,0.03007311,0.029177998,0.028620219,0.037413748,0.099072843,0.014483817,0.013576068,0.02379644,0.009845381,0.035178655,0.085298631,0.976467433,1.355791895,1.635492123,0.764965278,3.740443347,0.085334383,14.33288708,Group004Sample0006,nyssa_run3
HC_00_A_dawn_20231102,0.033564394,0.05270749,0.028944112,0.040803669,0.296301566,0.033465521,0.013605002,0.025165926,0.009574967,0.039467325,0.254235721,1.223528644,0.545408997,1.725827998,0.709350703,10.35572466,0.169443664,29.33342653,Group002Sample0006,nyssa_run3
HC_00_A_dawn_20231103,0.028885355,0.03656614,0.02430046,0.034351848,0.061583483,0.016089752,0.012445647,0.02018697,0.008760387,0.03417518,0.093570857,0.875188297,1.697550329,1.717518356,0.707398901,2.715721904,0.070023492,12.65068937,Group001Sample0006,nyssa_run3
HC_00_B_20231024,0.0365896,0.031070647,0.03381344,0.040119567,0.080850027,0.018838543,0.017308938,0.02824082,0.012851703,0.043360948,0.134780374,0.979419642,1.282916511,1.55045109,0.842816677,3.624062037,0.066060616,18.19656659,Group006Sample0006,nyssa_run3
HC_00_B_20231025,0.031183207,0.029345798,0.029123519,0.036406119,0.1077863,0.012073791,0.014800951,0.024198071,0.011346181,0.039499694,0.140873561,0.991062584,0.960746061,1.586235888,0.7999622,4.369479672,0.088862007,17.99397194,Group006Sample0004,nyssa_run3
HC_00_B_20231026,0.036651604,0.03923184,0.036277456,0.042145204,0.099011195,0.016002156,0.017795634,0.028795069,0.013249861,0.045365214,0.102149181,0.937832042,0.933501719,1.560076551,0.860773052,4.589813008,0.082852282,19.44017829,Group007Sample0004,nyssa_run3
HC_00_B_20231027,0.047071404,0.068260254,0.045389137,0.056580621,0.266532289,0.013648025,0.02274397,0.037738109,0.016656162,0.057683289,0.235444135,1.069075858,0.748515962,1.598053966,0.802202888,10.31587824,0.128003751,33.21663756,Group004Sample0002,nyssa_run3
